AAPL (APPLE INC),186.80,-5.43,
Nov 14 2018 @ 19:12 ET,Bid,186.93,Ask,187.14,Size,1x1,Vol,60747714,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
2018 Dec 14 202.50 (AAPL1814L202.5-4),1.77,-1.48,1.64,1.79,17,173,2018 Dec 14 202.50 (AAPL1814X202.5-4),17.25,+6.35,16.60,17.40,4,172,
2018 Dec 14 202.50 (AAPL1814L202.5-8),1.71,-1.86,1.63,1.87,3,173,2018 Dec 14 202.50 (AAPL1814X202.5-8),16.29,+5.11,16.60,17.55,10,172,
2018 Dec 14 202.50 (AAPL1814L202.5-A),1.93,-1.05,1.64,1.78,41,173,2018 Dec 14 202.50 (AAPL1814X202.5-A),15.30,+15.30,16.70,17.45,1,172,
2018 Dec 14 202.50 (AAPL1814L202.5-B),1.70,-1.60,0.0,3.80,41,173,2018 Dec 14 202.50 (AAPL1814X202.5-B),11.05,0.0,16.75,17.40, ,172,
2018 Dec 14 202.50 (AAPL1814L202.5-E),1.82,-1.17,1.61,1.74,21,173,2018 Dec 14 202.50 (AAPL1814X202.5-E),16.54,+7.35,16.75,17.45,11,172,
2018 Dec 14 202.50 (AAPL1814L202.5-I),1.70,-1.20,1.65,1.78,58,173,2018 Dec 14 202.50 (AAPL1814X202.5-I),16.55,+12.60,16.65,17.40,1,172,
2018 Dec 14 202.50 (AAPL1814L202.5-J),0.0,0.0,1.35,2.10, ,173,2018 Dec 14 202.50 (AAPL1814X202.5-J),0.0,0.0,16.55,18.20, ,172,
2018 Dec 14 202.50 (AAPL1814L202.5-K),0.0,0.0,0.0,5.00, ,173,2018 Dec 14 202.50 (AAPL1814X202.5-K),0.0,0.0,14.05,19.05, ,172,
2018 Dec 14 202.50 (AAPL1814L202.5-O),1.69,-1.36,1.63,1.74,56,173,2018 Dec 14 202.50 (AAPL1814X202.5-O),14.55,+8.70,15.40,18.10,18,172,
2018 Dec 14 202.50 (AAPL1814L202.5-OG),1.78,-1.02,0.0,1.78,20,173,2018 Dec 14 202.50 (AAPL1814X202.5-OG),12.80,0.0,16.75,17.40,0,172,
2018 Dec 14 202.50 (AAPL1814L202.5-P),7.00,0.0,1.62,1.74,0,173,2018 Dec 14 202.50 (AAPL1814X202.5-P),10.18,0.0,16.85,17.40,0,172,
2018 Dec 14 202.50 (AAPL1814L202.5-S),1.67,-5.93,1.63,1.79,13,173,2018 Dec 14 202.50 (AAPL1814X202.5-S),10.10,0.0,16.65,17.40, ,172,
2018 Dec 14 202.50 (AAPL1814L202.5-X),1.93,-0.95,1.63,1.79,25,173,2018 Dec 14 202.50 (AAPL1814X202.5-X),15.85,+3.60,16.60,17.50,11,172,
2018 Dec 14 202.50 (AAPL1814L202.5-Y),0.0,0.0,1.64,1.78,0,173,2018 Dec 14 202.50 (AAPL1814X202.5-Y),10.60,0.0,16.70,17.40,0,172,
2018 Dec 14 205.00 (AAPL1814L205),1.32,-0.88,1.28,1.36,292,597,2018 Dec 14 205.00 (AAPL1814X205),19.33,+5.41,18.90,19.55,38,179,
2018 Dec 14 205.00 (AAPL1814L205-3),1.37,-0.98,1.01,1.69,5,597,2018 Dec 14 205.00 (AAPL1814X205-3),13.92,0.0,18.80,19.55,0,179,
2018 Dec 14 205.00 (AAPL1814L205-4),1.37,-0.94,1.27,1.43,17,597,2018 Dec 14 205.00 (AAPL1814X205-4),19.40,+7.85,18.80,19.55,1,179,
2018 Dec 14 205.00 (AAPL1814L205-8),1.35,-1.01,1.27,1.45,13,597,2018 Dec 14 205.00 (AAPL1814X205-8),14.11,0.0,18.75,19.65, ,179,
2018 Dec 14 205.00 (AAPL1814L205-A),1.30,-0.90,1.28,1.43,11,597,2018 Dec 14 205.00 (AAPL1814X205-A),6.06,0.0,18.90,19.55,0,179,
2018 Dec 14 205.00 (AAPL1814L205-B),1.39,-1.66,0.0,1.70,13,597,2018 Dec 14 205.00 (AAPL1814X205-B),12.45,0.0,18.90,19.55, ,179,
2018 Dec 14 205.00 (AAPL1814L205-E),1.36,-0.98,1.25,1.37,73,597,2018 Dec 14 205.00 (AAPL1814X205-E),19.33,+5.83,18.70,19.70,31,179,
2018 Dec 14 205.00 (AAPL1814L205-I),1.32,-0.98,1.28,1.37,35,597,2018 Dec 14 205.00 (AAPL1814X205-I),12.30,0.0,18.90,19.60,0,179,
2018 Dec 14 205.00 (AAPL1814L205-J),2.86,0.0,1.01,1.69, ,597,2018 Dec 14 205.00 (AAPL1814X205-J),7.82,0.0,18.70,20.35, ,179,
2018 Dec 14 205.00 (AAPL1814L205-K),0.0,0.0,0.0,5.00, ,597,2018 Dec 14 205.00 (AAPL1814X205-K),5.45,0.0,16.20,21.20, ,179,
2018 Dec 14 205.00 (AAPL1814L205-O),1.45,-1.23,1.27,1.37,7,597,2018 Dec 14 205.00 (AAPL1814X205-O),13.90,0.0,18.05,19.85, ,179,
2018 Dec 14 205.00 (AAPL1814L205-OG),1.53,-0.97,0.0,2.15,17,597,2018 Dec 14 205.00 (AAPL1814X205-OG),17.80,+12.80,18.90,19.55,1,179,
2018 Dec 14 205.00 (AAPL1814L205-P),1.83,-0.73,1.24,1.36,17,597,2018 Dec 14 205.00 (AAPL1814X205-P),6.45,0.0,18.90,19.55,0,179,
2018 Dec 14 205.00 (AAPL1814L205-S),1.42,-1.21,1.28,1.37,4,597,2018 Dec 14 205.00 (AAPL1814X205-S),19.15,+7.85,18.80,19.60,2,179,
2018 Dec 14 205.00 (AAPL1814L205-X),1.50,-1.52,1.26,1.42,79,597,2018 Dec 14 205.00 (AAPL1814X205-X),18.86,+5.74,18.75,19.75,3,179,
2018 Dec 14 205.00 (AAPL1814L205-Y),1.55,-5.10,1.27,1.37,1,597,2018 Dec 14 205.00 (AAPL1814X205-Y),12.80,0.0,18.70,19.60,0,179,
2018 Dec 14 207.50 (AAPL1814L207.5),1.00,-0.74,0.96,1.07,159,584,2018 Dec 14 207.50 (AAPL1814X207.5),20.82,+5.51,21.20,21.75,33,403,
2018 Dec 14 207.50 (AAPL1814L207.5-3),1.67,0.0,0.74,1.37,0,584,2018 Dec 14 207.50 (AAPL1814X207.5-3),15.31,0.0,20.90,22.60,0,403,
2018 Dec 14 207.50 (AAPL1814L207.5-4),1.00,-1.40,0.94,1.12,17,584,2018 Dec 14 207.50 (AAPL1814X207.5-4),12.44,0.0,21.05,21.95,0,403,
2018 Dec 14 207.50 (AAPL1814L207.5-8),1.04,-0.99,0.92,1.14,31,584,2018 Dec 14 207.50 (AAPL1814X207.5-8),20.82,+6.29,21.00,21.90,15,403,
2018 Dec 14 207.50 (AAPL1814L207.5-A),1.05,-0.70,0.96,2.50,10,584,2018 Dec 14 207.50 (AAPL1814X207.5-A),19.20,+10.80,20.95,21.90,4,403,
2018 Dec 14 207.50 (AAPL1814L207.5-B),1.80,0.0,0.0,1.09, ,584,2018 Dec 14 207.50 (AAPL1814X207.5-B),8.30,0.0,21.05,21.80, ,403,
2018 Dec 14 207.50 (AAPL1814L207.5-E),1.02,-1.17,0.94,1.09,38,584,2018 Dec 14 207.50 (AAPL1814X207.5-E),20.35,+6.44,21.05,21.90,11,403,
2018 Dec 14 207.50 (AAPL1814L207.5-I),1.23,-0.52,0.95,1.11,7,584,2018 Dec 14 207.50 (AAPL1814X207.5-I),8.55,0.0,21.00,21.85,0,403,
2018 Dec 14 207.50 (AAPL1814L207.5-J),2.36,0.0,0.74,1.38, ,584,2018 Dec 14 207.50 (AAPL1814X207.5-J),5.92,0.0,20.85,22.60, ,403,
2018 Dec 14 207.50 (AAPL1814L207.5-K),0.0,0.0,0.0,5.00, ,584,2018 Dec 14 207.50 (AAPL1814X207.5-K),10.00,0.0,18.40,23.40, ,403,
2018 Dec 14 207.50 (AAPL1814L207.5-O),0.99,-1.01,0.95,1.07,15,584,2018 Dec 14 207.50 (AAPL1814X207.5-O),8.40,0.0,19.85,22.55, ,403,
2018 Dec 14 207.50 (AAPL1814L207.5-OG),1.12,-0.62,0.0,1.11,33,584,2018 Dec 14 207.50 (AAPL1814X207.5-OG),8.65,0.0,21.05,21.80,0,403,
2018 Dec 14 207.50 (AAPL1814L207.5-P),1.09,-1.10,0.94,1.07,5,584,2018 Dec 14 207.50 (AAPL1814X207.5-P),17.65,+9.00,21.20,21.75,1,403,
2018 Dec 14 207.50 (AAPL1814L207.5-S),2.80,0.0,0.95,1.10, ,584,2018 Dec 14 207.50 (AAPL1814X207.5-S),14.75,0.0,20.90,22.05, ,403,
2018 Dec 14 207.50 (AAPL1814L207.5-X),1.15,-0.94,0.91,1.07,2,584,2018 Dec 14 207.50 (AAPL1814X207.5-X),20.92,+14.77,21.00,21.90,2,403,
2018 Dec 14 207.50 (AAPL1814L207.5-Y),2.08,0.0,0.95,1.19,0,584,2018 Dec 14 207.50 (AAPL1814X207.5-Y),0.0,0.0,21.00,21.85,0,403,
2018 Dec 14 210.00 (AAPL1814L210),0.80,-0.49,0.74,0.83,307,1440,2018 Dec 14 210.00 (AAPL1814X210),23.27,+5.63,23.25,24.05,10,222,
2018 Dec 14 210.00 (AAPL1814L210-3),0.98,-0.50,0.53,1.13,3,1440,2018 Dec 14 210.00 (AAPL1814X210-3),9.97,0.0,23.20,24.85,0,222,
2018 Dec 14 210.00 (AAPL1814L210-4),0.88,-0.44,0.73,0.87,7,1440,2018 Dec 14 210.00 (AAPL1814X210-4),9.02,0.0,23.25,24.15,0,222,
2018 Dec 14 210.00 (AAPL1814L210-8),0.84,-0.45,0.68,0.89,14,1440,2018 Dec 14 210.00 (AAPL1814X210-8),23.75,+6.34,22.50,24.85,1,222,
2018 Dec 14 210.00 (AAPL1814L210-A),0.89,-0.46,0.74,0.86,17,1440,2018 Dec 14 210.00 (AAPL1814X210-A),7.00,0.0,23.00,24.30,0,222,
2018 Dec 14 210.00 (AAPL1814L210-B),1.28,0.0,0.0,0.85, ,1440,2018 Dec 14 210.00 (AAPL1814X210-B),5.00,0.0,21.50,25.45, ,222,
2018 Dec 14 210.00 (AAPL1814L210-E),0.85,-0.56,0.73,0.85,48,1440,2018 Dec 14 210.00 (AAPL1814X210-E),23.27,+5.36,23.20,24.20,7,222,
2018 Dec 14 210.00 (AAPL1814L210-I),0.81,-0.79,0.73,0.87,52,1440,2018 Dec 14 210.00 (AAPL1814X210-I),13.20,0.0,23.25,24.15,0,222,
2018 Dec 14 210.00 (AAPL1814L210-J),4.70,0.0,0.53,1.13, ,1440,2018 Dec 14 210.00 (AAPL1814X210-J),0.0,0.0,23.15,24.85, ,222,
2018 Dec 14 210.00 (AAPL1814L210-K),4.15,0.0,0.0,5.00, ,1440,2018 Dec 14 210.00 (AAPL1814X210-K),0.0,0.0,20.65,25.65, ,222,
2018 Dec 14 210.00 (AAPL1814L210-O),0.82,-0.78,0.73,0.83,41,1440,2018 Dec 14 210.00 (AAPL1814X210-O),18.40,+9.60,21.50,25.05,1,222,
2018 Dec 14 210.00 (AAPL1814L210-OG),0.80,-0.69,0.50,2.00,10,1440,2018 Dec 14 210.00 (AAPL1814X210-OG),18.55,+9.65,23.25,24.05,1,222,
2018 Dec 14 210.00 (AAPL1814L210-P),0.81,-0.75,0.73,0.83,17,1440,2018 Dec 14 210.00 (AAPL1814X210-P),8.80,0.0,23.20,24.90,0,222,
2018 Dec 14 210.00 (AAPL1814L210-S),1.05,-0.82,0.73,0.86,34,1440,2018 Dec 14 210.00 (AAPL1814X210-S),6.60,0.0,23.15,24.05, ,222,
2018 Dec 14 210.00 (AAPL1814L210-X),0.79,-0.51,0.66,0.87,64,1440,2018 Dec 14 210.00 (AAPL1814X210-X),17.64,0.0,21.40,24.90, ,222,
2018 Dec 14 210.00 (AAPL1814L210-Y),1.95,0.0,0.73,0.86,0,1440,2018 Dec 14 210.00 (AAPL1814X210-Y),0.0,0.0,23.20,24.20,0,222,
2018 Dec 14 212.50 (AAPL1814L212.5),0.61,-0.37,0.58,0.65,62,597,2018 Dec 14 212.50 (AAPL1814X212.5),25.46,+7.66,24.05,27.35,2,105,
2018 Dec 14 212.50 (AAPL1814L212.5-3),0.67,-0.32,0.37,0.94,6,597,2018 Dec 14 212.50 (AAPL1814X212.5-3),25.46,+14.65,23.90,27.35,2,105,
2018 Dec 14 212.50 (AAPL1814L212.5-4),0.76,-0.93,0.57,0.66,1,597,2018 Dec 14 212.50 (AAPL1814X212.5-4),17.80,0.0,23.90,27.35,0,105,
2018 Dec 14 212.50 (AAPL1814L212.5-8),0.65,-0.44,0.57,0.69,3,597,2018 Dec 14 212.50 (AAPL1814X212.5-8),8.55,0.0,23.65,27.75, ,105,
2018 Dec 14 212.50 (AAPL1814L212.5-A),1.20,0.0,0.57,0.68,0,597,2018 Dec 14 212.50 (AAPL1814X212.5-A),11.60,0.0,23.95,27.80,0,105,
2018 Dec 14 212.50 (AAPL1814L212.5-B),1.48,0.0,0.0,1.23, ,597,2018 Dec 14 212.50 (AAPL1814X212.5-B),12.05,0.0,24.05,27.80, ,105,
2018 Dec 14 212.50 (AAPL1814L212.5-E),0.62,-0.47,0.56,0.66,6,597,2018 Dec 14 212.50 (AAPL1814X212.5-E),18.27,0.0,21.10,30.10, ,105,
2018 Dec 14 212.50 (AAPL1814L212.5-I),0.70,-0.43,0.58,0.67,13,597,2018 Dec 14 212.50 (AAPL1814X212.5-I),10.65,0.0,23.00,28.65,0,105,
2018 Dec 14 212.50 (AAPL1814L212.5-J),3.45,0.0,0.37,0.94, ,597,2018 Dec 14 212.50 (AAPL1814X212.5-J),0.0,0.0,23.90,27.35, ,105,
2018 Dec 14 212.50 (AAPL1814L212.5-K),0.0,0.0,0.0,5.00, ,597,2018 Dec 14 212.50 (AAPL1814X212.5-K),0.0,0.0,23.60,28.60, ,105,
2018 Dec 14 212.50 (AAPL1814L212.5-O),0.61,-0.49,0.57,0.65,8,597,2018 Dec 14 212.50 (AAPL1814X212.5-O),12.05,0.0,23.60,28.20, ,105,
2018 Dec 14 212.50 (AAPL1814L212.5-OG),0.98,0.0,0.40,0.67,0,597,2018 Dec 14 212.50 (AAPL1814X212.5-OG),8.60,0.0,23.60,28.40,0,105,
2018 Dec 14 212.50 (AAPL1814L212.5-P),4.45,0.0,0.57,0.65,0,597,2018 Dec 14 212.50 (AAPL1814X212.5-P),10.90,0.0,23.95,27.35,0,105,
2018 Dec 14 212.50 (AAPL1814L212.5-S),0.78,-0.66,0.58,0.67,14,597,2018 Dec 14 212.50 (AAPL1814X212.5-S),0.0,0.0,23.70,27.90, ,105,
2018 Dec 14 212.50 (AAPL1814L212.5-X),0.81,-4.03,0.56,0.69,3,597,2018 Dec 14 212.50 (AAPL1814X212.5-X),8.55,0.0,23.80,28.05, ,105,
2018 Dec 14 212.50 (AAPL1814L212.5-Y),0.66,0.0,0.58,0.69,8,597,2018 Dec 14 212.50 (AAPL1814X212.5-Y),0.0,0.0,23.90,27.35,0,105,
2018 Dec 14 215.00 (AAPL1814L215),0.49,-0.25,0.46,0.52,183,585,2018 Dec 14 215.00 (AAPL1814X215),27.82,+7.05,28.00,28.80,9,205,
2018 Dec 14 215.00 (AAPL1814L215-3),0.50,-0.45,0.24,0.80,7,585,2018 Dec 14 215.00 (AAPL1814X215-3),10.55,0.0,27.90,29.60,0,205,
2018 Dec 14 215.00 (AAPL1814L215-4),0.50,-0.31,0.46,0.55,58,585,2018 Dec 14 215.00 (AAPL1814X215-4),14.07,0.0,27.90,28.90,0,205,
2018 Dec 14 215.00 (AAPL1814L215-8),0.53,-0.36,0.46,0.55,37,585,2018 Dec 14 215.00 (AAPL1814X215-8),25.64,+5.69,27.15,30.05,3,205,
2018 Dec 14 215.00 (AAPL1814L215-A),0.52,-0.27,0.46,0.54,14,585,2018 Dec 14 215.00 (AAPL1814X215-A),20.90,0.0,27.75,29.00,0,205,
2018 Dec 14 215.00 (AAPL1814L215-B),0.65,-0.22,0.0,1.09,2,585,2018 Dec 14 215.00 (AAPL1814X215-B),12.35,0.0,26.25,30.20, ,205,
2018 Dec 14 215.00 (AAPL1814L215-E),0.52,-0.40,0.45,0.53,28,585,2018 Dec 14 215.00 (AAPL1814X215-E),27.82,+7.05,27.90,28.95,4,205,
2018 Dec 14 215.00 (AAPL1814L215-I),0.49,-0.25,0.46,0.54,14,585,2018 Dec 14 215.00 (AAPL1814X215-I),8.50,0.0,27.95,28.90,0,205,
2018 Dec 14 215.00 (AAPL1814L215-J),0.0,0.0,0.24,0.81, ,585,2018 Dec 14 215.00 (AAPL1814X215-J),0.0,0.0,27.90,29.60, ,205,
2018 Dec 14 215.00 (AAPL1814L215-K),0.0,0.0,0.0,5.00, ,585,2018 Dec 14 215.00 (AAPL1814X215-K),0.0,0.0,25.40,30.40, ,205,
2018 Dec 14 215.00 (AAPL1814L215-O),0.48,-0.30,0.45,0.52,2,585,2018 Dec 14 215.00 (AAPL1814X215-O),10.40,0.0,26.55,29.65, ,205,
2018 Dec 14 215.00 (AAPL1814L215-OG),0.52,-0.28,0.0,0.54,2,585,2018 Dec 14 215.00 (AAPL1814X215-OG),10.20,0.0,28.00,28.80,0,205,
2018 Dec 14 215.00 (AAPL1814L215-P),0.94,0.0,0.44,0.52,0,585,2018 Dec 14 215.00 (AAPL1814X215-P),15.72,0.0,27.90,29.60,0,205,
2018 Dec 14 215.00 (AAPL1814L215-S),0.79,-0.13,0.46,0.54,15,585,2018 Dec 14 215.00 (AAPL1814X215-S),22.70,+4.30,27.90,28.95,2,205,
2018 Dec 14 215.00 (AAPL1814L215-X),0.52,-0.56,0.45,0.55,4,585,2018 Dec 14 215.00 (AAPL1814X215-X),9.35,0.0,26.20,29.65, ,205,
2018 Dec 14 215.00 (AAPL1814L215-Y),0.0,0.0,0.46,0.52,0,585,2018 Dec 14 215.00 (AAPL1814X215-Y),0.0,0.0,27.90,28.95,0,205,
2018 Dec 14 217.50 (AAPL1814L217.5),0.37,-0.21,0.37,0.42,15,312,2018 Dec 14 217.50 (AAPL1814X217.5),27.65,+3.01,28.85,32.20,5,33,
2018 Dec 14 217.50 (AAPL1814L217.5-3),0.87,0.0,0.15,0.70,0,312,2018 Dec 14 217.50 (AAPL1814X217.5-3),12.27,0.0,28.65,32.80,0,33,
2018 Dec 14 217.50 (AAPL1814L217.5-4),0.37,-0.30,0.36,0.45,1,312,2018 Dec 14 217.50 (AAPL1814X217.5-4),27.65,+11.60,28.65,32.80,5,33,
2018 Dec 14 217.50 (AAPL1814L217.5-8),0.66,0.0,0.37,0.47, ,312,2018 Dec 14 217.50 (AAPL1814X217.5-8),21.92,0.0,28.30,32.55, ,33,
2018 Dec 14 217.50 (AAPL1814L217.5-A),0.50,-1.21,0.36,2.50,1,312,2018 Dec 14 217.50 (AAPL1814X217.5-A),0.0,0.0,28.45,32.65,0,33,
2018 Dec 14 217.50 (AAPL1814L217.5-B),0.71,0.0,0.0,0.87, ,312,2018 Dec 14 217.50 (AAPL1814X217.5-B),0.0,0.0,28.45,32.95, ,33,
2018 Dec 14 217.50 (AAPL1814L217.5-E),0.44,-0.43,0.35,0.45,1,312,2018 Dec 14 217.50 (AAPL1814X217.5-E),24.64,0.0,26.05,34.85, ,33,
2018 Dec 14 217.50 (AAPL1814L217.5-I),0.42,-0.16,0.36,0.43,4,312,2018 Dec 14 217.50 (AAPL1814X217.5-I),0.0,0.0,27.35,33.20,0,33,
2018 Dec 14 217.50 (AAPL1814L217.5-J),0.0,0.0,0.15,0.69, ,312,2018 Dec 14 217.50 (AAPL1814X217.5-J),0.0,0.0,28.65,32.80, ,33,
2018 Dec 14 217.50 (AAPL1814L217.5-K),0.0,0.0,0.0,5.00, ,312,2018 Dec 14 217.50 (AAPL1814X217.5-K),0.0,0.0,28.20,33.20, ,33,
2018 Dec 14 217.50 (AAPL1814L217.5-O),0.39,-0.34,0.36,0.42,3,312,2018 Dec 14 217.50 (AAPL1814X217.5-O),9.75,0.0,28.25,32.95, ,33,
2018 Dec 14 217.50 (AAPL1814L217.5-OG),0.86,0.0,0.0,0.45,0,312,2018 Dec 14 217.50 (AAPL1814X217.5-OG),0.0,0.0,28.20,32.20,0,33,
2018 Dec 14 217.50 (AAPL1814L217.5-P),0.55,-0.30,0.15,0.42,5,312,2018 Dec 14 217.50 (AAPL1814X217.5-P),8.80,0.0,28.85,32.50,0,33,
2018 Dec 14 217.50 (AAPL1814L217.5-S),1.97,0.0,0.37,0.43, ,312,2018 Dec 14 217.50 (AAPL1814X217.5-S),10.00,0.0,28.50,32.65, ,33,
2018 Dec 14 217.50 (AAPL1814L217.5-X),0.92,0.0,0.31,0.46, ,312,2018 Dec 14 217.50 (AAPL1814X217.5-X),13.10,0.0,28.60,33.05, ,33,
2018 Dec 14 217.50 (AAPL1814L217.5-Y),0.0,0.0,0.36,0.45,0,312,2018 Dec 14 217.50 (AAPL1814X217.5-Y),0.0,0.0,28.65,32.80,0,33,
2018 Dec 14 220.00 (AAPL1814L220),0.31,-0.14,0.29,0.34,147,760,2018 Dec 14 220.00 (AAPL1814X220),31.46,+4.13,32.80,33.70,4,112,
2018 Dec 14 220.00 (AAPL1814L220-3),0.29,-0.35,0.08,0.34,3,760,2018 Dec 14 220.00 (AAPL1814X220-3),31.46,+4.13,32.20,34.40,1,112,
2018 Dec 14 220.00 (AAPL1814L220-4),0.30,-0.16,0.27,0.37,29,760,2018 Dec 14 220.00 (AAPL1814X220-4),30.45,+13.10,32.65,33.90,2,112,
2018 Dec 14 220.00 (AAPL1814L220-8),0.32,-0.32,0.18,0.37,9,760,2018 Dec 14 220.00 (AAPL1814X220-8),12.35,0.0,31.90,34.95, ,112,
2018 Dec 14 220.00 (AAPL1814L220-A),0.31,-0.18,0.25,2.43,11,760,2018 Dec 14 220.00 (AAPL1814X220-A),15.65,0.0,32.40,34.10,0,112,
2018 Dec 14 220.00 (AAPL1814L220-B),0.67,0.0,0.0,2.43, ,760,2018 Dec 14 220.00 (AAPL1814X220-B),11.80,0.0,31.00,35.25, ,112,
2018 Dec 14 220.00 (AAPL1814L220-E),0.32,-0.14,0.25,0.37,35,760,2018 Dec 14 220.00 (AAPL1814X220-E),31.31,+5.51,28.40,37.30,1,112,
2018 Dec 14 220.00 (AAPL1814L220-I),0.31,-0.14,0.29,0.34,11,760,2018 Dec 14 220.00 (AAPL1814X220-I),18.00,0.0,32.80,33.80,0,112,
2018 Dec 14 220.00 (AAPL1814L220-J),1.28,0.0,0.08,0.61, ,760,2018 Dec 14 220.00 (AAPL1814X220-J),0.0,0.0,32.20,34.40, ,112,
2018 Dec 14 220.00 (AAPL1814L220-K),1.28,0.0,0.0,5.00, ,760,2018 Dec 14 220.00 (AAPL1814X220-K),0.0,0.0,30.25,35.25, ,112,
2018 Dec 14 220.00 (AAPL1814L220-O),0.32,-0.34,0.01,0.34,22,760,2018 Dec 14 220.00 (AAPL1814X220-O),18.00,0.0,31.00,35.25, ,112,
2018 Dec 14 220.00 (AAPL1814L220-OG),0.56,0.0,0.0,0.35,0,760,2018 Dec 14 220.00 (AAPL1814X220-OG),17.85,0.0,32.80,33.70,0,112,
2018 Dec 14 220.00 (AAPL1814L220-P),0.55,0.0,0.09,0.34,0,760,2018 Dec 14 220.00 (AAPL1814X220-P),25.00,0.0,32.75,34.45,0,112,
2018 Dec 14 220.00 (AAPL1814L220-S),0.34,-0.26,0.29,0.38,5,760,2018 Dec 14 220.00 (AAPL1814X220-S),16.80,0.0,32.65,34.00, ,112,
2018 Dec 14 220.00 (AAPL1814L220-X),0.33,-0.31,0.01,0.43,22,760,2018 Dec 14 220.00 (AAPL1814X220-X),24.58,0.0,31.00,35.25, ,112,
2018 Dec 14 220.00 (AAPL1814L220-Y),1.92,0.0,0.29,0.40,0,760,2018 Dec 14 220.00 (AAPL1814X220-Y),0.0,0.0,32.75,33.85,0,112,
2018 Dec 14 222.50 (AAPL1814L222.5),0.23,-0.12,0.14,0.28,47,377,2018 Dec 14 222.50 (AAPL1814X222.5),25.80,0.0,35.25,36.20,0,6,
2018 Dec 14 222.50 (AAPL1814L222.5-3),0.45,0.0,0.0,0.28,0,377,2018 Dec 14 222.50 (AAPL1814X222.5-3),0.0,0.0,34.70,37.75,0,6,
2018 Dec 14 222.50 (AAPL1814L222.5-4),0.23,-0.29,0.0,0.32,12,377,2018 Dec 14 222.50 (AAPL1814X222.5-4),0.0,0.0,34.70,37.75,0,6,
2018 Dec 14 222.50 (AAPL1814L222.5-8),0.26,-0.09,0.0,0.33,14,377,2018 Dec 14 222.50 (AAPL1814X222.5-8),18.26,0.0,33.40,38.20, ,6,
2018 Dec 14 222.50 (AAPL1814L222.5-A),0.26,-0.19,0.14,0.32,1,377,2018 Dec 14 222.50 (AAPL1814X222.5-A),0.0,0.0,33.40,38.05,0,6,
2018 Dec 14 222.50 (AAPL1814L222.5-B),0.41,0.0,0.0,0.36, ,377,2018 Dec 14 222.50 (AAPL1814X222.5-B),0.0,0.0,33.50,38.05, ,6,
2018 Dec 14 222.50 (AAPL1814L222.5-E),0.26,-0.14,0.0,0.33,18,377,2018 Dec 14 222.50 (AAPL1814X222.5-E),25.80,0.0,30.20,39.80, ,6,
2018 Dec 14 222.50 (AAPL1814L222.5-I),0.27,-0.23,0.0,0.33,1,377,2018 Dec 14 222.50 (AAPL1814X222.5-I),0.0,0.0,32.35,38.35,0,6,
2018 Dec 14 222.50 (AAPL1814L222.5-J),0.0,0.0,0.0,0.54, ,377,2018 Dec 14 222.50 (AAPL1814X222.5-J),0.0,0.0,34.70,37.75, ,6,
2018 Dec 14 222.50 (AAPL1814L222.5-K),0.0,0.0,0.0,5.00, ,377,2018 Dec 14 222.50 (AAPL1814X222.5-K),0.0,0.0,33.40,38.40, ,6,
2018 Dec 14 222.50 (AAPL1814L222.5-O),0.52,0.0,0.0,0.32, ,377,2018 Dec 14 222.50 (AAPL1814X222.5-O),0.0,0.0,33.70,38.25, ,6,
2018 Dec 14 222.50 (AAPL1814L222.5-OG),0.40,0.0,0.0,0.32,0,377,2018 Dec 14 222.50 (AAPL1814X222.5-OG),0.0,0.0,33.40,36.20,0,6,
2018 Dec 14 222.50 (AAPL1814L222.5-P),0.38,0.0,0.0,0.53,0,377,2018 Dec 14 222.50 (AAPL1814X222.5-P),0.0,0.0,35.25,36.60,0,6,
2018 Dec 14 222.50 (AAPL1814L222.5-S),0.26,-0.69,0.0,0.33,1,377,2018 Dec 14 222.50 (AAPL1814X222.5-S),0.0,0.0,33.70,38.40, ,6,
2018 Dec 14 222.50 (AAPL1814L222.5-X),0.57,0.0,0.0,0.33, ,377,2018 Dec 14 222.50 (AAPL1814X222.5-X),22.55,0.0,33.70,37.95, ,6,
2018 Dec 14 222.50 (AAPL1814L222.5-Y),0.0,0.0,0.0,0.33,0,377,2018 Dec 14 222.50 (AAPL1814X222.5-Y),0.0,0.0,34.70,37.75,0,6,
2018 Dec 14 225.00 (AAPL1814L225),0.19,-0.09,0.18,0.24,43,450,2018 Dec 14 225.00 (AAPL1814X225),34.93,+5.73,37.20,39.05,25,51,
2018 Dec 14 225.00 (AAPL1814L225-3),0.27,-0.10,0.0,0.24,1,450,2018 Dec 14 225.00 (AAPL1814X225-3),15.86,0.0,36.95,40.35,0,51,
2018 Dec 14 225.00 (AAPL1814L225-4),0.18,-0.75,0.05,0.27,10,450,2018 Dec 14 225.00 (AAPL1814X225-4),18.02,0.0,36.95,40.35,0,51,
2018 Dec 14 225.00 (AAPL1814L225-8),0.28,0.0,0.0,0.28, ,450,2018 Dec 14 225.00 (AAPL1814X225-8),29.20,0.0,36.10,40.45, ,51,
2018 Dec 14 225.00 (AAPL1814L225-A),0.23,-0.04,0.14,0.24,1,450,2018 Dec 14 225.00 (AAPL1814X225-A),0.0,0.0,36.15,40.75,0,51,
